ID;d_visi;J?su dzimums;Vecums;Vecums;Dzimšanas gads;J?su ?imenes st?voklis;Cik cilv?ku dz?vo J?su m?jsaimniec?b?, ieskaitot J?s;Vai J?su ?imen? ir b?rni vecum? l?dz 18 gadiem (ieskaitot), kuri dz?vo kop? ar Jums?;J?s dz?vojat…;K?da ir J?su izgl?t?ba?;Izgl?t?ba;K?da ir J?su taut?ba?;Taut?ba;K?d? valod? galvenok?rt J?s run?jat ?imen??;Vai Jums ir LR pilson?ba?;K?d? sektor? J?s str?d?jat:;Pamatnodarbošan?s (Zemnieks pie pašnodarbin?t?);Pamatnodarbošan?s;M?neša vid?jie ien?kumi uz vienu ?imenes locekli (kop?jais);M?neša vid?jie ien?kumi uz vienu ?imenes locekli (kvintiles);Re?ions;Re?ions (v?l?š. apg.);Novads;L?dzu, atz?m?jiet, kur? pils?t? vai pagast? J?s dz?vojat. Ja Jums ir vair?kas dz?vesvietas, l?dzu, atz?m?jiet to, kur J?s dz?vojat visbiež?k.;Apdz?vota vieta;K?d? valod? notika intervija?;Intervijas beigu laiks;Intervijas s?kuma laiks;Intervijas datums;Intervijas garums (min);Apdz?vota vieta;Vai ?imen?, kur? J?s uzaug?t, bija k?das ar dzied?šanu saist?tas trad?cijas (š?pu?dziesmas, jubil?ra apsveikšana dziedot, dzied?šana savies?gos m?jas pas?kumos, m?jas ball?t?s, vec?ki dzied?ja kor? u.tml.)?;L?dzu, atz?m?jiet visus apgalvojumus, kuri raksturo J?su dzied?šanas paradumus. - Dziedu kor?;Dungoju ik uz so?a;M?dzu dzied?t l?dzi vai k? dal?bnieks Dziesmu sv?tku koncertos;M?dzu dzied?t l?dzi citos koncertos;M?dzu dzied?t pie J??u ugunskura;Dziedu l?dzi, kad svin?gos br?žos tiek dzied?ta valsts himna;M?dzu dzied?t, apsveicot jubil?ru;Dažk?rt m?dzu dzied?t ball?t?s, savies?gos pas?kumos;M?dzu dzied?t duš?;Dažk?rt dziedu vienatn?, attiec?g? garast?vokl?, kad sp?l? dziesmu, kura man pat?k;M?dzu dzied?t bazn?c?, Dievkalpojumos;M?dzu dzied?t, braucot automaš?n?;M?dzu dzied?t b?rniem/ kop? ar b?rniem;M?dzu dzied?t cit?s situ?cij?s;Nekad nedziedu;Cik labi J?s p?rzin?t latviešu tautasdziesmas?;Kuras tr?s no š?m tautasdziesm?m Jums pat?k vislab?k? - Skaisti dziedi lakst?gala;Tumša nakte, za?a z?le;?vu, ?vu baltas k?jas;R?ga dimd;Kur tu skriesi, vanadzi?(i);Kraukl?t’s s?ž ozol?;P?t, v?ji?i;Neviena;Gr?ti pateikt;Vai J?s piekr?tat apgalvojumam, ka latvieši ir dzied?t?ju tauta?;Vai J?s piekr?tat apgalvojumam, ka m?su dien?s latvieši ir maz?k? m?r? dzied?t?ju tauta, nek? pusi gadsimta atpaka??;Vai, J?supr?t, dzied?tprasme ir apg?stama?;Vai J?s v?l?tos iem?c?ties dzied?t lab?k?;Cik Jums ir svar?gi, lai b?rni Latvij? turpina dzied?šanas trad?cijas?;weight
237;Visi respondenti;Sieviete;58.00;55 - 63;1960;Prec?jies (-usies) vai dz?vo ar partneri;3;N?;Dz?vokl? daudzdz?vok?u m?ja;Augst?k?;Augst?k?;Polis (-iete);Cits (-ta);Krievu;N?;Priv?taj? sektor?;Speci?lists, ier?dnis, nestr?d? fizisku darbu;Str?d?jošie;300.00;Eur 251 - Eur 350;R?ga;R?ga;R?ga;R?ga;R?ga;RUS;13.03.2018 21:38;13.03.2018 21:28;13-MAR-2018;12:10:16 priekšp.;R?ga;J?;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;Nemaz neorient?jos šaj? žanr?;0;0;0;0;0;0;1;0;0;Piln?b? piekr?tu;Dr?z?k piekr?tu;Da??ji, bet ne piln?b?;N?;Tas ir dr?z?k svar?gi;0.909754718
119;Visi respondenti;V?rietis;51.00;45 - 54;1967;Prec?jies (-usies) vai dz?vo ar partneri;3;N?;Savrupm?ja, priv?tm?ja;Profesion?l? vid?j?/ vid?j? speci?l?;Vid?j?, vid?j? profesion?l?;Latvietis (-te);Latvietis (-te);Latviešu;J?;Nestr?d?;Bezdarbnieks;Nestr?d?jošie;200.00;Eur 0 - Eur 250;Pier?ga;Vidzeme;J?rmala;J?rmala;Cita pils?ta;LAT;13.03.2018 20:35;13.03.2018 20:25;13-MAR-2018;12:10:00 priekšp.;Liel?s pils?tas;N?;0;1;0;0;0;0;0;1;1;1;0;1;0;1;0;Popul?r?kaj?m dziesm?m varu nodzied?t dažus pantus;0;0;0;0;0;0;1;0;0;Dr?z?k piekr?tu;Piln?b? piekr?tu;J?;N?;Tas dr?z?k nav svar?gi;0.89366653
1310;Visi respondenti;Sieviete;28.00;25 - 34;1990;Prec?jies (-usies) vai dz?vo ar partneri;3;J?;Savrupm?ja, priv?tm?ja;Augst?k?;Augst?k?;Latvietis (-te);Latvietis (-te);Latviešu;J?;Priv?taj? sektor?;Speci?lists, ier?dnis, nestr?d? fizisku darbu;Str?d?jošie;600.00;Eur 500 - Eur 699;Zemgale;Zemgale;Bauskas novads;Ceraukstes pagasts;Lauki;LAT;15.03.2018 08:37;15.03.2018 08:29;15-MAR-2018;12:07:47 priekšp.;Lauku teritorija;J?;0;0;0;0;0;1;1;1;1;1;0;1;1;0;0;Popul?r?kaj?m dziesm?m varu nodzied?t dažus pantus;0;1;0;0;0;1;1;0;0;Piln?b? piekr?tu;Dr?z?k piekr?tu;Da??ji, bet ne piln?b?;J?, bet nav konkr?tu nodomu vai ap?emšan?s to dar?t;Tas ir dr?z?k svar?gi;1.177464077
528;Visi respondenti;Sieviete;36.00;35 - 44;1982;Prec?jies (-usies) vai dz?vo ar partneri;4;J?;Savrupm?ja, priv?tm?ja;Vid?j?;Vid?j?, vid?j? profesion?l?;Latvietis (-te);Latvietis (-te);Latviešu;J?;Priv?taj? sektor?;Ir savs uz??mums, individu?lais darbs;Str?d?jošie;430.00;Eur 351 - Eur 499;Pier?ga;Vidzeme;J?rmala;J?rmala;Cita pils?ta;LAT;14.03.2018 07:56;14.03.2018 07:49;14-MAR-2018;12:07:17 priekšp.;Liel?s pils?tas;N?;1;0;1;0;0;1;1;0;0;1;1;1;1;0;0;?oti labi p?rzinu;1;1;0;0;0;0;1;0;0;Piln?b? piekr?tu;Dr?z?k nepiekr?tu;J?;J?, bet nav konkr?tu nodomu vai ap?emšan?s to dar?t;Tas ir dr?z?k svar?gi;0.887814433
259;Visi respondenti;V?rietis;62.00;55 - 63;1956;Š??ries (-usies) vai nedz?vo kop? ar v?ru/ sievu;2;N?;Dz?vokl? daudzdz?vok?u m?ja;Augst?k?;Augst?k?;Igaunis (-te);Cits (-ta);Latviešu;J?;Publiskaj? sektor? (valsts, pašvald?bas);Speci?lists, ier?dnis, nestr?d? fizisku darbu;Str?d?jošie;700.00;Eur 700 un vair?k;Vidzeme;Vidzeme;Valmiera;Valmiera;Cita pils?ta;LAT;13.03.2018 21:51;13.03.2018 21:36;13-MAR-2018;12:15:25 priekšp.;Liel?s pils?tas;J?;1;1;1;0;1;1;1;1;0;0;1;0;0;1;0;?oti labi p?rzinu;0;1;0;0;0;1;1;0;0;Piln?b? piekr?tu;Dr?z?k nepiekr?tu;Da??ji, bet ne piln?b?;J?, bet nav konkr?tu nodomu vai ap?emšan?s to dar?t;Tas dr?z?k nav svar?gi;1.184163597
266;Visi respondenti;Sieviete;42.00;35 - 44;1976;Prec?jies (-usies) vai dz?vo ar partneri;3;N?;Savrupm?ja, priv?tm?ja;Augst?k?;Augst?k?;Polis (-iete);Cits (-ta);Latviešu;J?;Publiskaj? sektor? (valsts, pašvald?bas);Speci?lists, ier?dnis, nestr?d? fizisku darbu;Str?d?jošie;450.00;Eur 351 - Eur 499;Pier?ga;Vidzeme;Baldones novads;Baldones pils?ta;Cita pils?ta;LAT;13.03.2018 21:48;13.03.2018 21:40;13-MAR-2018;12:08:23 priekšp.;Cita pils?ta;N?;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;Visbiež?k zinu pirm?s rindi?as vai piedzied?jumu;0;1;1;0;0;0;1;0;0;Dr?z?k piekr?tu;Dr?z?k piekr?tu;N?, viss atkar?gs no iedzimt?m sp?j?m;N?;Tas ir dr?z?k svar?gi;1.042595759
1496;Visi respondenti;V?rietis;45.00;45 - 54;1973;Prec?jies (-usies) vai dz?vo ar partneri;4;J?;Dz?vokl? daudzdz?vok?u m?ja;Profesion?l? vid?j?/ vid?j? speci?l?;Vid?j?, vid?j? profesion?l?;Latvietis (-te);Latvietis (-te);Latviešu;N?;Priv?taj? sektor?;Ir savs uz??mums, individu?lais darbs;Str?d?jošie;100.00;Eur 0 - Eur 250;Latgale;Latgale;R?zeknes novads;Ilzeskalna pagasts;Lauki;LAT;15.03.2018 19:07;15.03.2018 18:57;15-MAR-2018;12:09:43 priekšp.;Lauku teritorija;J?;0;0;0;1;1;1;1;1;0;0;0;1;0;0;0;Visbiež?k zinu pirm?s rindi?as vai piedzied?jumu;0;0;0;0;0;0;0;0;1;Dr?z?k piekr?tu;Gr?ti pateikt;Da??ji, bet ne piln?b?;J?, bet nav konkr?tu nodomu vai ap?emšan?s to dar?t;Tas ir ?oti svar?gi;0.940666577
698;Visi respondenti;Sieviete;70.00;64 - 75;1948;Prec?jies (-usies) vai dz?vo ar partneri;2;N?;Dz?vokl? daudzdz?vok?u m?ja;Augst?k?;Augst?k?;Latvietis (-te);Latvietis (-te);Latviešu;J?;Nestr?d?;Pension?rs (-e);Nestr?d?jošie;500.00;Eur 500 - Eur 699;Vidzeme;Vidzeme;Valkas novads;Valkas pils?ta;Cita pils?ta;LAT;14.03.2018 09:29;14.03.2018 09:23;14-MAR-2018;12:06:15 priekšp.;Cita pils?ta;J?;1;0;1;1;1;1;1;1;0;0;0;0;1;1;0;?oti labi p?rzinu;0;1;1;0;0;0;1;0;0;Dr?z?k piekr?tu;Dr?z?k nepiekr?tu;J?;Gr?ti pateikt;Tas ir ?oti svar?gi;1.005895279
722;Visi respondenti;Sieviete;67.00;64 - 75;1951;Prec?jies (-usies) vai dz?vo ar partneri;2;N?;Savrupm?ja, priv?tm?ja;Profesion?l? vid?j?/ vid?j? speci?l?;Vid?j?, vid?j? profesion?l?;Latvietis (-te);Latvietis (-te);Latviešu;J?;Nestr?d?;Pension?rs (-e);Nestr?d?jošie;700.00;Eur 700 un vair?k;R?ga;R?ga;R?ga;R?ga;R?ga;LAT;14.03.2018 09:40;14.03.2018 09:34;14-MAR-2018;12:06:04 priekšp.;R?ga;J?;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;Visbiež?k zinu pirm?s rindi?as vai piedzied?jumu;0;1;0;0;0;0;1;0;0;Dr?z?k piekr?tu;Piln?b? piekr?tu;Da??ji, bet ne piln?b?;J?, bet nav konkr?tu nodomu vai ap?emšan?s to dar?t;Tas ir dr?z?k svar?gi;0.804283805
471;Visi respondenti;Sieviete;44.00;35 - 44;1974;Prec?jies (-usies) vai dz?vo ar partneri;4;J?;Dz?vokl? daudzdz?vok?u m?ja;Augst?k?;Augst?k?;Cits (-ta);Cits (-ta);Krievu;J?;Priv?taj? sektor?;Speci?lists, ier?dnis, nestr?d? fizisku darbu;Str?d?jošie;Gr?ti pateikt/NA;Gr?ti pateikt/ nev?los atbild?t;R?ga;R?ga;R?ga;R?ga;R?ga;RUS;14.03.2018 06:32;14.03.2018 06:25;14-MAR-2018;12:07:18 priekšp.;R?ga;J?;0;1;0;0;0;0;1;0;0;1;0;1;0;1;0;Visbiež?k zinu pirm?s rindi?as vai piedzied?jumu;0;0;0;0;0;0;0;0;1;Dr?z?k piekr?tu;Gr?ti pateikt;Da??ji, bet ne piln?b?;J?, bet nav konkr?tu nodomu vai ap?emšan?s to dar?t;Tas ir dr?z?k svar?gi;0.953950674
