ID,d_visi,Jūsu dzimums,Vecums,Vecums,Dzimšanas gads,Jūsu ģimenes stāvoklis,"Cik cilvēku dzīvo Jūsu mājsaimniecībā, ieskaitot Jūs","Vai Jūsu ģimenē ir bērni vecumā līdz 18 gadiem (ieskaitot), kuri dzīvo kopā ar Jums?",Jūs dzīvojat…,Kāda ir Jūsu izglītība?,Izglītība,Kāda ir Jūsu tautība?,Tautība,Kādā valodā galvenokārt Jūs runājat ģimenē?,Vai Jums ir LR pilsonība?,Kādā sektorā Jūs strādājat:,Pamatnodarbošanās (Zemnieks pie pašnodarbinātā),Pamatnodarbošanās,Mēneša vidējie ienākumi uz vienu ģimenes locekli (kopējais),Mēneša vidējie ienākumi uz vienu ģimenes locekli (kvintiles),Reģions,Reģions (vēlēš. apg.),Novads,"Lūdzu, atzīmējiet, kurā pilsētā vai pagastā Jūs dzīvojat. Ja Jums ir vairākas dzīvesvietas, lūdzu, atzīmējiet to, kur Jūs dzīvojat visbiežāk.",Apdzīvota vieta,Kādā valodā notika intervija?,Intervijas beigu laiks,Intervijas sākuma laiks,Intervijas datums,Intervijas garums (min),Apdzīvota vieta,"Vai ģimenē, kurā Jūs uzaugāt, bija kādas ar dziedāšanu saistītas tradīcijas (šūpuļdziesmas, jubilāra apsveikšana dziedot, dziedāšana saviesīgos mājas pasākumos, mājas ballītēs, vecāki dziedāja korī u.tml.)?","Lūdzu, atzīmējiet visus apgalvojumus, kuri raksturo Jūsu dziedāšanas paradumus. - Dziedu korī",Dungoju ik uz soļa,Mēdzu dziedāt līdzi vai kā dalībnieks Dziesmu svētku koncertos,Mēdzu dziedāt līdzi citos koncertos,Mēdzu dziedāt pie Jāņu ugunskura,"Dziedu līdzi, kad svinīgos brīžos tiek dziedāta valsts himna","Mēdzu dziedāt, apsveicot jubilāru","Dažkārt mēdzu dziedāt ballītēs, saviesīgos pasākumos",Mēdzu dziedāt dušā,"Dažkārt dziedu vienatnē, attiecīgā garastāvoklī, kad spēlē dziesmu, kura man patīk","Mēdzu dziedāt baznīcā, Dievkalpojumos","Mēdzu dziedāt, braucot automašīnā",Mēdzu dziedāt bērniem/ kopā ar bērniem,Mēdzu dziedāt citās situācijās,Nekad nedziedu,Cik labi Jūs pārzināt latviešu tautasdziesmas?,Kuras trīs no šīm tautasdziesmām Jums patīk vislabāk? - Skaisti dziedi lakstīgala,"Tumša nakte, zaļa zāle","Āvu, āvu baltas kājas",Rīga dimd,"Kur tu skriesi, vanadziņ(i)",Krauklīt’s sēž ozolā,"Pūt, vējiņi",Neviena,Grūti pateikt,"Vai Jūs piekrītat apgalvojumam, ka latvieši ir dziedātāju tauta?","Vai Jūs piekrītat apgalvojumam, ka mūsu dienās latvieši ir mazākā mērā dziedātāju tauta, nekā pusi gadsimta atpakaļ?","Vai, Jūsuprāt, dziedātprasme ir apgūstama?",Vai Jūs vēlētos iemācīties dziedāt labāk?,"Cik Jums ir svarīgi, lai bērni Latvijā turpina dziedāšanas tradīcijas?",weight
5,Visi respondenti,Sieviete,33.00,25 - 34,1985,Precējies (-usies) vai dzīvo ar partneri,2,Nē,Dzīvoklī daudzdzīvokļu māja,Augstākā,Augstākā,Krievs (-iete),Cits (-ta),Krievu,Jā,Nestrādā,"Mājsaimniece (-ks), bērna kopšanas atvaļinājums",Nestrādājošie,1000.00,Eur 700 un vairāk,Rīga,Rīga,Rīga,Rīga,Rīga,LAT,13.03.2018 18:42,13.03.2018 18:34,13-MAR-2018,12:08:06 priekšp.,Rīga,Nē,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,Nemaz neorientējos šajā žanrā,0,0,0,0,0,0,1,0,0,Pilnībā piekrītu,Grūti pateikt,"Daļēji, bet ne pilnībā","Jā, bet nav konkrētu nodomu vai apņemšanās to darīt",Tas ir drīzāk svarīgi,1.200429692
6,Visi respondenti,Sieviete,37.00,35 - 44,1981,Neprecējies (-usies),1,Nē,Dzīvoklī daudzdzīvokļu māja,Augstākā,Augstākā,Latvietis (-te),Latvietis (-te),Latviešu,Jā,Privātajā sektorā,"Speciālists, ierēdnis, nestrādā fizisku darbu",Strādājošie,Grūti pateikt/NA,Grūti pateikt/ nevēlos atbildēt,Pierīga,Vidzeme,Jūrmala,Jūrmala,Cita pilsēta,LAT,13.03.2018 20:43,13.03.2018 18:36,13-MAR-2018,2:07:03 priekšp.,Lielās pilsētas,Nē,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Visbiežāk zinu pirmās rindiņas vai piedziedājumu,1,1,0,0,0,0,1,0,0,Drīzāk piekrītu,Drīzāk piekrītu,"Daļēji, bet ne pilnībā",Nē,Grūti pateikt,0.887814433
9,Visi respondenti,Vīrietis,33.00,25 - 34,1985,Neprecējies (-usies),1,Nē,Dzīvoklī daudzdzīvokļu māja,Profesionālā vidējā/ vidējā speciālā,"Vidējā, vidējā profesionālā",Latvietis (-te),Latvietis (-te),Latviešu,Jā,"Publiskajā sektorā (valsts, pašvaldības)","Speciālists, ierēdnis, nestrādā fizisku darbu",Strādājošie,420.00,Eur 351 - Eur 499,Kurzeme,Kurzeme,Liepāja,Liepāja,Cita pilsēta,LAT,13.03.2018 18:51,13.03.2018 18:41,13-MAR-2018,12:09:32 priekšp.,Lielās pilsētas,Nē,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Visbiežāk zinu pirmās rindiņas vai piedziedājumu,0,0,0,1,0,0,0,0,0,Pilnībā piekrītu,Drīzāk piekrītu,"Daļēji, bet ne pilnībā","Jā, bet nav konkrētu nodomu vai apņemšanās to darīt",Tas ir ļoti svarīgi,1.006261839
10,Visi respondenti,Sieviete,71.00,64 - 75,1947,Atraitnis (-e),1,Nē,Dzīvoklī daudzdzīvokļu māja,Vidējā,"Vidējā, vidējā profesionālā",Latvietis (-te),Latvietis (-te),Latviešu,Jā,Nestrādā,Pensionārs (-e),Nestrādājošie,450.00,Eur 351 - Eur 499,Vidzeme,Vidzeme,Cēsu novads,Cēsu pilsēta,Cita pilsēta,LAT,13.03.2018 18:56,13.03.2018 18:48,13-MAR-2018,12:07:25 priekšp.,Cita pilsēta,Grūti pateikt,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Visbiežāk zinu pirmās rindiņas vai piedziedājumu,0,1,0,1,0,0,1,0,0,Pilnībā piekrītu,Drīzāk piekrītu,"Daļēji, bet ne pilnībā","Jā, bet nav konkrētu nodomu vai apņemšanās to darīt",Tas ir ļoti svarīgi,1.005895279
11,Visi respondenti,Sieviete,52.00,45 - 54,1966,Precējies (-usies) vai dzīvo ar partneri,4,Nē,"Savrupmāja, privātmāja",Profesionālā vidējā/ vidējā speciālā,"Vidējā, vidējā profesionālā",Latvietis (-te),Latvietis (-te),Latviešu,Jā,Privātajā sektorā,"Ir savs uzņēmums, individuālais darbs",Strādājošie,200.00,Eur 0 - Eur 250,Vidzeme,Vidzeme,Naukšēnu novads,Ķoņu pagasts,Lauki,LAT,13.03.2018 18:59,13.03.2018 18:49,13-MAR-2018,12:10:23 priekšp.,Lauku teritorija,Jā,0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,Ļoti labi pārzinu,0,1,0,0,1,0,1,0,0,Drīzāk piekrītu,Pilnībā piekrītu,"Daļēji, bet ne pilnībā",Nē,Tas ir ļoti svarīgi,0.982618554
12,Visi respondenti,Sieviete,60.00,55 - 63,1958,Neprecējies (-usies),2,Nē,"Savrupmāja, privātmāja",Augstākā,Augstākā,Latvietis (-te),Latvietis (-te),Latviešu,Jā,Privātajā sektorā,"Speciālists, ierēdnis, nestrādā fizisku darbu",Strādājošie,Grūti pateikt/NA,Grūti pateikt/ nevēlos atbildēt,Rīga,Rīga,Rīga,Rīga,Rīga,LAT,13.03.2018 18:59,13.03.2018 18:49,13-MAR-2018,12:09:56 priekšp.,Rīga,Jā,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Populārākajām dziesmām varu nodziedāt dažus pantus,0,1,1,0,0,0,1,0,0,Drīzāk piekrītu,Drīzāk nepiekrītu,"Daļēji, bet ne pilnībā","Jā, bet nav konkrētu nodomu vai apņemšanās to darīt",Tas ir ļoti svarīgi,0.774694662
13,Visi respondenti,Vīrietis,70.00,64 - 75,1948,Precējies (-usies) vai dzīvo ar partneri,2,Nē,Dzīvoklī daudzdzīvokļu māja,Augstākā,Augstākā,Krievs (-iete),Cits (-ta),Krievu,Nē,"Publiskajā sektorā (valsts, pašvaldības)","Speciālists, ierēdnis, nestrādā fizisku darbu",Strādājošie,700.00,Eur 700 un vairāk,Rīga,Rīga,Rīga,Rīga,Rīga,RUS,13.03.2018 19:04,13.03.2018 18:53,13-MAR-2018,12:11:09 priekšp.,Rīga,Nē,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Dziesmas atpazīstu, bet pats nodziedāt nemācētu",0,0,0,0,0,0,0,0,1,Pilnībā piekrītu,Drīzāk piekrītu,"Daļēji, bet ne pilnībā","Jā, bet nav konkrētu nodomu vai apņemšanās to darīt",Tas ir drīzāk svarīgi,0.982985294
14,Visi respondenti,Vīrietis,56.00,55 - 63,1962,Precējies (-usies) vai dzīvo ar partneri,2,Nē,Dzīvoklī daudzdzīvokļu māja,Augstākā,Augstākā,Krievs (-iete),Cits (-ta),Krievu,Jā,Nestrādā,Bezdarbnieks,Nestrādājošie,600.00,Eur 500 - Eur 699,Rīga,Rīga,Rīga,Rīga,Rīga,RUS,13.03.2018 19:04,13.03.2018 18:56,13-MAR-2018,12:08:03 priekšp.,Rīga,Jā,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,Nemaz neorientējos šajā žanrā,0,0,0,0,0,0,0,0,1,Drīzāk nepiekrītu,Grūti pateikt,"Nē, viss atkarīgs no iedzimtām spējām",Nē,Tas drīzāk nav svarīgi,0.946821825
16,Visi respondenti,Sieviete,50.00,45 - 54,1968,Precējies (-usies) vai dzīvo ar partneri,4,Nē,"Savrupmāja, privātmāja",Profesionālā vidējā/ vidējā speciālā,"Vidējā, vidējā profesionālā",Latvietis (-te),Latvietis (-te),Latviešu,Jā,"Publiskajā sektorā (valsts, pašvaldības)","Strādnieks, strādā fizisku darbu",Strādājošie,120.00,Eur 0 - Eur 250,Vidzeme,Vidzeme,Smiltenes novads,Smiltenes pilsēta,Cita pilsēta,LAT,13.03.2018 19:07,13.03.2018 18:59,13-MAR-2018,12:08:42 priekšp.,Cita pilsēta,Jā,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,Populārākajām dziesmām varu nodziedāt dažus pantus,1,1,0,0,0,0,1,0,0,Pilnībā piekrītu,Pilnībā piekrītu,"Daļēji, bet ne pilnībā",Nē,Tas ir drīzāk svarīgi,0.982618554
17,Visi respondenti,Sieviete,75.00,64 - 75,1943,Atraitnis (-e),1,Nē,Dzīvoklī daudzdzīvokļu māja,Augstākā,Augstākā,Latvietis (-te),Latvietis (-te),Latviešu,Jā,Nestrādā,Pensionārs (-e),Nestrādājošie,300.00,Eur 251 - Eur 350,Rīga,Rīga,Rīga,Rīga,Rīga,LAT,13.03.2018 19:09,13.03.2018 18:59,13-MAR-2018,12:09:14 priekšp.,Rīga,Jā,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,Populārākajām dziesmām varu nodziedāt dažus pantus,0,1,0,1,0,0,1,0,0,Pilnībā piekrītu,Drīzāk nepiekrītu,"Daļēji, bet ne pilnībā","Jā, bet nav konkrētu nodomu vai apņemšanās to darīt",Tas ir ļoti svarīgi,0.804283805
