ID,d_visi,Jūsu dzimums,Vecums,Vecums,Dzimšanas gads,Jūsu ģimenes stāvoklis,"Cik cilvēku dzīvo Jūsu mājsaimniecībā, ieskaitot Jūs","Vai Jūsu ģimenē ir bērni vecumā līdz 18 gadiem (ieskaitot), kuri dzīvo kopā ar Jums?",Jūs dzīvojat…,Kāda ir Jūsu izglītība?,Izglītība,Kāda ir Jūsu tautība?,Tautība,Kādā valodā galvenokārt Jūs runājat ģimenē?,Vai Jums ir LR pilsonība?,Kādā sektorā Jūs strādājat:,Pamatnodarbošanās (Zemnieks pie pašnodarbinātā),Pamatnodarbošanās,Mēneša vidējie ienākumi uz vienu ģimenes locekli (kopējais),Mēneša vidējie ienākumi uz vienu ģimenes locekli (kvintiles),Reģions,Reģions (vēlēš. apg.),Novads,"Lūdzu, atzīmējiet, kurā pilsētā vai pagastā Jūs dzīvojat. Ja Jums ir vairākas dzīvesvietas, lūdzu, atzīmējiet to, kur Jūs dzīvojat visbiežāk.",Apdzīvota vieta,Kādā valodā notika intervija?,Intervijas beigu laiks,Intervijas sākuma laiks,Intervijas datums,Intervijas garums (min),Apdzīvota vieta,"Vai ģimenē, kurā Jūs uzaugāt, bija kādas ar dziedāšanu saistītas tradīcijas (šūpuļdziesmas, jubilāra apsveikšana dziedot, dziedāšana saviesīgos mājas pasākumos, mājas ballītēs, vecāki dziedāja korī u.tml.)?","Lūdzu, atzīmējiet visus apgalvojumus, kuri raksturo Jūsu dziedāšanas paradumus. - Dziedu korī",Dungoju ik uz soļa,Mēdzu dziedāt līdzi vai kā dalībnieks Dziesmu svētku koncertos,Mēdzu dziedāt līdzi citos koncertos,Mēdzu dziedāt pie Jāņu ugunskura,"Dziedu līdzi, kad svinīgos brīžos tiek dziedāta valsts himna","Mēdzu dziedāt, apsveicot jubilāru","Dažkārt mēdzu dziedāt ballītēs, saviesīgos pasākumos",Mēdzu dziedāt dušā,"Dažkārt dziedu vienatnē, attiecīgā garastāvoklī, kad spēlē dziesmu, kura man patīk","Mēdzu dziedāt baznīcā, Dievkalpojumos","Mēdzu dziedāt, braucot automašīnā",Mēdzu dziedāt bērniem/ kopā ar bērniem,Mēdzu dziedāt citās situācijās,Nekad nedziedu,Cik labi Jūs pārzināt latviešu tautasdziesmas?,Kuras trīs no šīm tautasdziesmām Jums patīk vislabāk? - Skaisti dziedi lakstīgala,"Tumša nakte, zaļa zāle","Āvu, āvu baltas kājas",Rīga dimd,"Kur tu skriesi, vanadziņ(i)",Krauklīt’s sēž ozolā,"Pūt, vējiņi",Neviena,Grūti pateikt,"Vai Jūs piekrītat apgalvojumam, ka latvieši ir dziedātāju tauta?","Vai Jūs piekrītat apgalvojumam, ka mūsu dienās latvieši ir mazākā mērā dziedātāju tauta, nekā pusi gadsimta atpakaļ?","Vai, Jūsuprāt, dziedātprasme ir apgūstama?",Vai Jūs vēlētos iemācīties dziedāt labāk?,"Cik Jums ir svarīgi, lai bērni Latvijā turpina dziedāšanas tradīcijas?",weight
237,Visi respondenti,Sieviete,58.00,55 - 63,1960,Precējies (-usies) vai dzīvo ar partneri,3,Nē,Dzīvoklī daudzdzīvokļu māja,Augstākā,Augstākā,Polis (-iete),Cits (-ta),Krievu,Nē,Privātajā sektorā,"Speciālists, ierēdnis, nestrādā fizisku darbu",Strādājošie,300.00,Eur 251 - Eur 350,Rīga,Rīga,Rīga,Rīga,Rīga,RUS,13.03.2018 21:38,13.03.2018 21:28,13-MAR-2018,12:10:16 priekšp.,Rīga,Jā,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Nemaz neorientējos šajā žanrā,0,0,0,0,0,0,1,0,0,Pilnībā piekrītu,Drīzāk piekrītu,"Daļēji, bet ne pilnībā",Nē,Tas ir drīzāk svarīgi,0.909754718
119,Visi respondenti,Vīrietis,51.00,45 - 54,1967,Precējies (-usies) vai dzīvo ar partneri,3,Nē,"Savrupmāja, privātmāja",Profesionālā vidējā/ vidējā speciālā,"Vidējā, vidējā profesionālā",Latvietis (-te),Latvietis (-te),Latviešu,Jā,Nestrādā,Bezdarbnieks,Nestrādājošie,200.00,Eur 0 - Eur 250,Pierīga,Vidzeme,Jūrmala,Jūrmala,Cita pilsēta,LAT,13.03.2018 20:35,13.03.2018 20:25,13-MAR-2018,12:10:00 priekšp.,Lielās pilsētas,Nē,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,Populārākajām dziesmām varu nodziedāt dažus pantus,0,0,0,0,0,0,1,0,0,Drīzāk piekrītu,Pilnībā piekrītu,Jā,Nē,Tas drīzāk nav svarīgi,0.89366653
1310,Visi respondenti,Sieviete,28.00,25 - 34,1990,Precējies (-usies) vai dzīvo ar partneri,3,Jā,"Savrupmāja, privātmāja",Augstākā,Augstākā,Latvietis (-te),Latvietis (-te),Latviešu,Jā,Privātajā sektorā,"Speciālists, ierēdnis, nestrādā fizisku darbu",Strādājošie,600.00,Eur 500 - Eur 699,Zemgale,Zemgale,Bauskas novads,Ceraukstes pagasts,Lauki,LAT,15.03.2018 08:37,15.03.2018 08:29,15-MAR-2018,12:07:47 priekšp.,Lauku teritorija,Jā,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,Populārākajām dziesmām varu nodziedāt dažus pantus,0,1,0,0,0,1,1,0,0,Pilnībā piekrītu,Drīzāk piekrītu,"Daļēji, bet ne pilnībā","Jā, bet nav konkrētu nodomu vai apņemšanās to darīt",Tas ir drīzāk svarīgi,1.177464077
528,Visi respondenti,Sieviete,36.00,35 - 44,1982,Precējies (-usies) vai dzīvo ar partneri,4,Jā,"Savrupmāja, privātmāja",Vidējā,"Vidējā, vidējā profesionālā",Latvietis (-te),Latvietis (-te),Latviešu,Jā,Privātajā sektorā,"Ir savs uzņēmums, individuālais darbs",Strādājošie,430.00,Eur 351 - Eur 499,Pierīga,Vidzeme,Jūrmala,Jūrmala,Cita pilsēta,LAT,14.03.2018 07:56,14.03.2018 07:49,14-MAR-2018,12:07:17 priekšp.,Lielās pilsētas,Nē,1,0,1,0,0,1,1,0,0,1,1,1,1,0,0,Ļoti labi pārzinu,1,1,0,0,0,0,1,0,0,Pilnībā piekrītu,Drīzāk nepiekrītu,Jā,"Jā, bet nav konkrētu nodomu vai apņemšanās to darīt",Tas ir drīzāk svarīgi,0.887814433
259,Visi respondenti,Vīrietis,62.00,55 - 63,1956,Šķīries (-usies) vai nedzīvo kopā ar vīru/ sievu,2,Nē,Dzīvoklī daudzdzīvokļu māja,Augstākā,Augstākā,Igaunis (-te),Cits (-ta),Latviešu,Jā,"Publiskajā sektorā (valsts, pašvaldības)","Speciālists, ierēdnis, nestrādā fizisku darbu",Strādājošie,700.00,Eur 700 un vairāk,Vidzeme,Vidzeme,Valmiera,Valmiera,Cita pilsēta,LAT,13.03.2018 21:51,13.03.2018 21:36,13-MAR-2018,12:15:25 priekšp.,Lielās pilsētas,Jā,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,Ļoti labi pārzinu,0,1,0,0,0,1,1,0,0,Pilnībā piekrītu,Drīzāk nepiekrītu,"Daļēji, bet ne pilnībā","Jā, bet nav konkrētu nodomu vai apņemšanās to darīt",Tas drīzāk nav svarīgi,1.184163597
266,Visi respondenti,Sieviete,42.00,35 - 44,1976,Precējies (-usies) vai dzīvo ar partneri,3,Nē,"Savrupmāja, privātmāja",Augstākā,Augstākā,Polis (-iete),Cits (-ta),Latviešu,Jā,"Publiskajā sektorā (valsts, pašvaldības)","Speciālists, ierēdnis, nestrādā fizisku darbu",Strādājošie,450.00,Eur 351 - Eur 499,Pierīga,Vidzeme,Baldones novads,Baldones pilsēta,Cita pilsēta,LAT,13.03.2018 21:48,13.03.2018 21:40,13-MAR-2018,12:08:23 priekšp.,Cita pilsēta,Nē,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,Visbiežāk zinu pirmās rindiņas vai piedziedājumu,0,1,1,0,0,0,1,0,0,Drīzāk piekrītu,Drīzāk piekrītu,"Nē, viss atkarīgs no iedzimtām spējām",Nē,Tas ir drīzāk svarīgi,1.042595759
1496,Visi respondenti,Vīrietis,45.00,45 - 54,1973,Precējies (-usies) vai dzīvo ar partneri,4,Jā,Dzīvoklī daudzdzīvokļu māja,Profesionālā vidējā/ vidējā speciālā,"Vidējā, vidējā profesionālā",Latvietis (-te),Latvietis (-te),Latviešu,Nē,Privātajā sektorā,"Ir savs uzņēmums, individuālais darbs",Strādājošie,100.00,Eur 0 - Eur 250,Latgale,Latgale,Rēzeknes novads,Ilzeskalna pagasts,Lauki,LAT,15.03.2018 19:07,15.03.2018 18:57,15-MAR-2018,12:09:43 priekšp.,Lauku teritorija,Jā,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,Visbiežāk zinu pirmās rindiņas vai piedziedājumu,0,0,0,0,0,0,0,0,1,Drīzāk piekrītu,Grūti pateikt,"Daļēji, bet ne pilnībā","Jā, bet nav konkrētu nodomu vai apņemšanās to darīt",Tas ir ļoti svarīgi,0.940666577
698,Visi respondenti,Sieviete,70.00,64 - 75,1948,Precējies (-usies) vai dzīvo ar partneri,2,Nē,Dzīvoklī daudzdzīvokļu māja,Augstākā,Augstākā,Latvietis (-te),Latvietis (-te),Latviešu,Jā,Nestrādā,Pensionārs (-e),Nestrādājošie,500.00,Eur 500 - Eur 699,Vidzeme,Vidzeme,Valkas novads,Valkas pilsēta,Cita pilsēta,LAT,14.03.2018 09:29,14.03.2018 09:23,14-MAR-2018,12:06:15 priekšp.,Cita pilsēta,Jā,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,Ļoti labi pārzinu,0,1,1,0,0,0,1,0,0,Drīzāk piekrītu,Drīzāk nepiekrītu,Jā,Grūti pateikt,Tas ir ļoti svarīgi,1.005895279
722,Visi respondenti,Sieviete,67.00,64 - 75,1951,Precējies (-usies) vai dzīvo ar partneri,2,Nē,"Savrupmāja, privātmāja",Profesionālā vidējā/ vidējā speciālā,"Vidējā, vidējā profesionālā",Latvietis (-te),Latvietis (-te),Latviešu,Jā,Nestrādā,Pensionārs (-e),Nestrādājošie,700.00,Eur 700 un vairāk,Rīga,Rīga,Rīga,Rīga,Rīga,LAT,14.03.2018 09:40,14.03.2018 09:34,14-MAR-2018,12:06:04 priekšp.,Rīga,Jā,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Visbiežāk zinu pirmās rindiņas vai piedziedājumu,0,1,0,0,0,0,1,0,0,Drīzāk piekrītu,Pilnībā piekrītu,"Daļēji, bet ne pilnībā","Jā, bet nav konkrētu nodomu vai apņemšanās to darīt",Tas ir drīzāk svarīgi,0.804283805
471,Visi respondenti,Sieviete,44.00,35 - 44,1974,Precējies (-usies) vai dzīvo ar partneri,4,Jā,Dzīvoklī daudzdzīvokļu māja,Augstākā,Augstākā,Cits (-ta),Cits (-ta),Krievu,Jā,Privātajā sektorā,"Speciālists, ierēdnis, nestrādā fizisku darbu",Strādājošie,Grūti pateikt/NA,Grūti pateikt/ nevēlos atbildēt,Rīga,Rīga,Rīga,Rīga,Rīga,RUS,14.03.2018 06:32,14.03.2018 06:25,14-MAR-2018,12:07:18 priekšp.,Rīga,Jā,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,Visbiežāk zinu pirmās rindiņas vai piedziedājumu,0,0,0,0,0,0,0,0,1,Drīzāk piekrītu,Grūti pateikt,"Daļēji, bet ne pilnībā","Jā, bet nav konkrētu nodomu vai apņemšanās to darīt",Tas ir drīzāk svarīgi,0.953950674
